name,salary
University of Louisiana at Lafayette,"{""Teaching Assistant"":""$35,512 per year"",""Assistant Professor"":""$65,230 per year""}"
"Brown Contracting, Inc.","{""Concrete Finisher"":""$30.93 per hour"",""Construction Worker"":""$19.84 per hour"",""Concrete Laborer"":""$32.19 per hour""}"
Kadiant,"{""Behavior Technician"":""$18.15 per hour"",""Behavioral Therapist"":""$17.37 per hour"",""Childcare Provider"":""$20.45 per hour""}"
Plymouth Tube Company,"{""Operator"":""$15.53 per hour"",""Finisher"":""$15.94 per hour"",""Technician Trainee"":""$18.62 per hour""}"
Footprint Retail Services,"{""Merchandiser"":""$12.64 per hour"",""Retail Merchandiser"":""$14.15 per hour"",""Receptionist/Assistant"":""$25.00 per hour""}"
Becht Pride Cleaning Services,"{""House Cleaner"":""$10.88 per hour"",""Janitor"":""$12.17 per hour"",""Handy Man"":""$16.17 per hour""}"
Indium Corporation,{}
Proven Mortgage,"{""Loan Officer"":""$98,444 per year"",""Mortgage Loan Originator"":""$135,575 per year"",""Customer Service Representative"":""$15.00 per hour""}"
The Country Club of Virginia,"{""Line Cook"":""$13.23 per hour"",""Banquet Server"":""$10.91 per hour""}"
Allen Construction,{}
Optimum Health Institute,"{""Facilitator"":""$54,164 per year"",""Food Preparation Worker"":""$13.65 per hour"",""Kitchen Manager"":""$11.69 per hour""}"
Nestle USA,"{""Operator"":""$50,238 per year"",""Sales Representative"":""$57,825 per year"",""Warehouse Worker"":""$18.32 per hour""}"
SET Environmental,"{""Field Technician"":""$14.49 per hour"",""Truck Driver"":""$57,724 per year"",""Environmental Technician"":""$15.29 per hour""}"
The Pineville Club at Flowers Plantation,{}
Journeys,"{""Sales Associate"":""$8.87 per hour"",""Store Manager"":""$31,424 per year"",""Co-manager"":""$19.52 per hour""}"
Telvista,"{""Customer Service Representative"":""$11.37 per hour"",""Technical Support"":""$11.73 per hour"",""Technical Support Specialist"":""$12.00 per hour""}"
Great Lakes Cheese,"{""Attendant"":""$36,103 per year"",""Handler"":""$46,591 per year"",""Warehouse Worker"":""$38,808 per year""}"
Lou Malnati's Pizzeria,"{""Host/Hostess"":""$25,762 per year"",""Server"":""$36,800 per year"",""Busser"":""$20,876 per year""}"
Eagle Alloy,{}
Saputo,"{""Forklift Operator"":""$18.92 per hour"",""Assembler"":""$42,363 per year"",""Operator"":""$40,135 per year""}"
Forcepoint,"{""Technical Support Engineer"":""$57,782 per year"",""IT Security Specialist"":""$116,172 per year"",""Inside Sales Representative"":""$45,796 per year""}"
Total Health Dental Care,"{""Dental Assistant"":""$25.22 per hour"",""Dentist"":""$248,201 per year"",""Office Manager"":""$33.32 per hour""}"
CalAmp,"{""Administrative Assistant"":""$14.06 per hour"",""Call Center Representative"":""$14.83 per hour""}"
BWS Oral & Maxillofacial Surgery,{}
El Dorado Union High School District,{}
Saltgrass Steakhouse,"{""Server"":""$13.95 per hour"",""Bartender"":""$29,108 per year"",""Host/Hostess"":""$9.99 per hour""}"
Divine Scoops,{}
JCPenney,"{""Sales Associate"":""$10.16 per hour"",""Customer Service Representative"":""$11.33 per hour"",""Cashier"":""$12.15 per hour""}"
"Sovereign Lending Group, Inc","{""Senior Underwriter"":""$92,527 per year"",""Mortgage Loan Originator"":""$69,277 per year"",""Receptionist"":""$27,973 per year""}"
Wellness at Home,"{""Occupational Therapist"":""$88,268 per year"",""Speech Language Pathologist"":""$49.33 per hour"",""Physical Therapist Assistant"":""$60,192 per year""}"
Cat5 Resources,"{""Technician"":""$21.97 per hour"",""Laborer"":""$14.70 per hour""}"
Fralock,"{""Machine Operator"":""$18.31 per hour"",""Composite Technician"":""$17.21 per hour"",""Assembler/Packer"":""$14.58 per hour""}"
Haller Enterprises,{}
Connexion Point,"{""Customer Service Representative"":""$13.94 per hour"",""Insurance Agent"":""$17.60 per hour"",""Licensed Agent"":""$14.83 per hour""}"
Tower Health,"{""Registered Nurse"":""$69,107 per year"",""Patient Assistant"":""$34,822 per year"",""Phlebotomist"":""$31,339 per year""}"
Graphic Products,"{""Sales Representative"":""$16.10 per hour"",""Copywriter"":""$54,964 per year"",""Warehouse Worker"":""$12.12 per hour""}"
Midwest Family of Companies,"{""Direct Care Worker"":""$10.08 per hour"",""Direct Support Professional"":""$11.01 per hour"",""Support Manager"":""$11.00 per hour""}"
AK Steel,"{""Crane Operator"":""$65,804 per year"",""Shift Manager"":""$81,047 per year"",""Maintenance Technician"":""$64,445 per year""}"
Novolex,"{""Machine Operator"":""$40,116 per year"",""Forklift Operator"":""$43,429 per year"",""Operator"":""$53,158 per year""}"
Science Museum of Minnesota,"{""Ticket Sales Representative"":""$11.49 per hour"",""Camp Counselor"":""$12.32 per hour"",""Associate"":""$10.82 per hour""}"
SirsiDynix,"{""Operations Assistant"":""$15.83 per hour"",""Billing Coordinator"":""$12.96 per hour""}"
Toyota Industries Commercial Finance,{}
SIDES SEEDING,"{""Driver"":""$13.44 per hour"",""Laborer"":""$12.77 per hour"",""Administrative Assistant"":""$50,000 per year""}"
The Homestead,"{""Associate"":""$10.68 per hour"",""Behavioral Specialist"":""$12.50 per hour"",""Community Service Officer"":""$10.70 per hour""}"
Kids R Kids Learning Center,{}
CCC Information Services Inc.,"{""Customer Service Representative"":""$14.91 per hour"",""Software Engineer"":""$93,382 per year"",""Field Supervisor"":""$51,653 per year""}"
Best One Tire,"{""Tire Technician"":""$14.06 per hour"",""Lube Technician"":""$12.09 per hour"",""Warehouse Worker"":""$11.80 per hour""}"
Apple Valley Post Acute Rehab,"{""Dietary Aide"":""$16.58 per hour"",""Nursing Assistant"":""$19.66 per hour"",""Laundry Attendant"":""$13.42 per hour""}"
East Coast Orthotic & Prosthetic Corp.,"{""Fitter"":""$19.79 per hour"",""Patient Accounts Representative"":""$18.01 per hour"",""Personal Trainer"":""$40,886 per year""}"
Gannett Fleming,"{""Highway Engineer"":""$82,206 per year"",""Engineer"":""$78,992 per year"",""Traffic Engineer"":""$95,511 per year""}"
Galasso's Bakery,"{""Route Sales Representative"":""$18.71 per hour"",""Maintenance Mechanic"":""$21.11 per hour"",""Production Assistant"":""$14.38 per hour""}"
Oak Ridge Assisted Living of Hastings,{}
Icertis,"{""Inside Sales Representative"":""$87,756 per year"",""Sales Director"":""$162,379 per year"",""Senior Director"":""$182,675 per year""}"
Lewis Group of Companies,"{""Maintenance Technician"":""$46,811 per year"",""Leasing Consultant"":""$36,156 per year"",""Groundskeeper"":""$13.62 per hour""}"
The Pillars Christian Learning Center,{}
,"{""Physical Therapist Assistant"":""$26.67 per hour"",""Occupational Therapist"":""$38.54 per hour"",""Certified Occupational Therapy Assistant"":""$27.47 per hour""}"
Keller,{}
Westrock,"{""Machine Operator"":""$17.51 per hour"",""Operator"":""$21.38 per hour"",""Forklift Operator"":""$16.77 per hour""}"
Shiloh Industries,"{""Machine Operator"":""$15.28 per hour"",""Die Cast Engineer"":""$16.43 per hour"",""Press Operator"":""$17.17 per hour""}"
Northeastern State University,"{""Administrative Secretary"":""$24,070 per year"",""Custodian"":""$19,431 per year"",""Administrative Assistant"":""$26,213 per year""}"
Weinstein Properties,"{""Leasing Consultant"":""$15.27 per hour"",""Property Manager"":""$53,315 per year"",""Maintenance Technician"":""$17.68 per hour""}"
Adventist GlenOaks Hospital,{}
Data Dimensions,"{""Document Processor"":""$14.28 per hour"",""Data Entry Clerk"":""$11.87 per hour"",""Data Processor"":""$13.22 per hour""}"
Niagara Falls Memorial Medical Center,{}
Balance Staffing,"{""Forklift Operator"":""$15.46 per hour"",""Warehouse Worker"":""$14.25 per hour"",""Machine Operator"":""$15.34 per hour""}"
,"{""Customer Service Representative"":""$12.08 per hour"",""Call Center Representative"":""$11.46 per hour"",""Agent"":""$9.64 per hour""}"
Phoenix Modular Elevator,{}
Graphic Packaging,"{""Machine Operator"":""$16.96 per hour"",""Operator"":""$18.24 per hour"",""Press Operator"":""$19.64 per hour""}"
Kearney & Company,"{""Senior Manager"":""$95,263 per year"",""Senior Associate"":""$110,550 per year"",""IT Auditor"":""$86,689 per year""}"
CIA Medical,{}
City Market,"{""Courtesy Associate"":""$9.55 per hour"",""Deli Associate"":""$10.52 per hour"",""Cashier"":""$10.98 per hour""}"
"Novo Nordisk, Inc.","{""Care Specialist"":""$83,875 per year"",""Process Technician"":""$66,414 per year"",""Account Executive"":""$114,672 per year""}"
Abco Maintenance,"{""Administrative Assistant"":""$30,695 per year"",""Customer Service Representative"":""$13.94 per hour"",""Sweeper"":""$11.68 per hour""}"
Wicked Weed Brewing,{}
Westside Personnel,"{""Laborer"":""$10.07 per hour"",""Packer"":""$10.00 per hour"",""Shipping and Receiving Clerk"":""$10.99 per hour""}"
Ward Hardwood Flooring,{}
OSF HealthCare,"{""Registered Nurse"":""$66,022 per year"",""Patient Care Technician"":""$42,030 per year"",""Nursing Assistant"":""$22,189 per year""}"
Bethpage Federal Credit Union,"{""Teller"":""$14.86 per hour"",""Customer Service Representative"":""$32,175 per year"",""Member Services Representative"":""$41,491 per year""}"
Webster Cantrell Youth Advocacy,{}
RevZilla.com,"{""Fulfillment Associate"":""$13.38 per hour"",""Seasonal Associate"":""$14.00 per hour"",""Inventory Control Specialist"":""$13.38 per hour""}"
Munich Re,{}
Lippert Components,"{""Forklift Operator"":""$32,790 per year"",""Fabricator/Welder"":""$18.34 per hour"",""Assembler"":""$15.79 per hour""}"
TK Design & Associates,{}
"Publishers Circulation Fulfillment, Inc.","{""Customer Service Representative"":""$13.05 per hour"",""Delivery Driver"":""$1,500 per month"",""Scheduler"":""$13.68 per hour""}"
Stanley Automotive,"{""Finance Manager"":""$96,194 per year"",""Service Advisor"":""$54,890 per year"",""Sales Professional"":""$78,497 per year""}"
All Finish Concrete,"{""Concrete Laborer"":""$23.84 per hour"",""Concrete Finisher"":""$19.24 per hour"",""Delivery Driver"":""$19.55 per hour""}"
Smile Direct Club,"{""Dental Assistant"":""$18.95 per hour"",""Production Worker"":""$14.55 per hour"",""Production Technician"":""$30,131 per year""}"
Linn-Mar Community School District,{}
CORECENTRIC SOLUTIONS,"{""Warehouse Worker"":""$10.68 per hour"",""Assembly Technician"":""$13.55 per hour"",""Production"":""$10.56 per hour""}"
Corizon Health,"{""Licensed Practical Nurse"":""$47,811 per year"",""Registered Nurse"":""$63,507 per year"",""Nurse"":""$21.77 per hour""}"
"CWS Apartment Homes, LLC","{""Maintenance Technician"":""$40,101 per year"",""Leasing Consultant"":""$30,994 per year"",""Community Director"":""$63,261 per year""}"
EyeQue Corporation,"{""Digital Marketer"":""$87,088 per year"",""Human Resources Generalist"":""$68,706 per year"",""Customer Support Representative"":""$63,922 per year""}"
Timberline Manufacturing,{}
"Structall Building Systems, Inc","{""Warehouse Worker"":""$10.19 per hour"",""Production Worker"":""$11.39 per hour"",""Truck Driver"":""$972 per week""}"
DLP Real Estate Capital,"{""Operations Analyst"":""$47,360 per year"",""Loan Processor"":""$44,725 per year"",""Recruiter"":""$110,473 per year""}"
Ipex Insurance Services,{}
Little Tyke,"{""Preschool Teacher"":""$10.42 per hour"",""Childcare Provider"":""$10.31 per hour"",""Child Care Director"":""$37,285 per year""}"
Intelenet Global Services,"{""Customer Service Representative"":""$10.53 per hour"",""Call Center Representative"":""$10.49 per hour"",""Data Entry Clerk"":""$11.50 per hour""}"
Hawaii Medical Service Association,{}
"LDC, INC",{}
City of Daphne,"{""Developmental Service Worker"":""$29,330 per year"",""Inspector"":""$43,423 per year"",""Crew Leader"":""$36,049 per year""}"
Core Comprehensive Occupational Resources,{}
National Powersport Auctions,"{""Technician"":""$16.87 per hour"",""Marketing Representative"":""$12.00 per hour"",""Transportation Specialist"":""$13.42 per hour""}"
"Broadridge Financial Solutions, Inc.","{""Consultant"":""$30,102 per year"",""Machine Operator"":""$13.79 per hour"",""Project Manager"":""$92,210 per year""}"
"University of Nevada, Reno","{""Administrative Assistant"":""$36,719 per year"",""Graduate Researcher"":""$22,603 per year"",""Graduate Assistant"":""$1,797 per month""}"
North Valley Nursing Center,{}
Keller Trucking,{}
Say Cheese Pizza Co.,{}
Stericycle,"{""Customer Service Representative"":""$30,830 per year"",""Driver"":""$17.46 per hour"",""Route Driver"":""$17.81 per hour""}"
Covanta,"{""Operator"":""$55,756 per year"",""Utility Operator"":""$43,242 per year"",""Engineer"":""$69,529 per year""}"
Common Securitization Solutions,{}
"United Community Action Partnership, Inc.","{""School Principal"":""$13.67 per hour"",""Bus Driver"":""$13.18 per hour"",""Head Coach"":""$12.14 per hour""}"
Brian Center Health & Rehabilitation/Hendersonville,"{""Dietary Aide"":""$8.94 per hour"",""Line Cook/Prep Cook"":""$10.95 per hour""}"
Brandon Regional Hospital,"{""Registered Nurse"":""$59,422 per year"",""Nursing Assistant"":""$26,715 per year"",""Registrar"":""$15.93 per hour""}"
Federation Early Learning Services,"{""Preschool Teacher"":""$27,719 per year"",""Early Childhood Teacher"":""$32,000 per year""}"
Summit Home Care,"{""Home Health Aide"":""$13.47 per hour"",""Licensed Practical Nurse"":""$26.75 per hour"",""Home Care Nurse"":""$24.67 per hour""}"
Cataler North America,{}
Wacker Neuson,"{""Assembler"":""$30,546 per year"",""Fabricator"":""$16.29 per hour""}"
Middle Country Central School District,{}
Cordant Health Solutions,"{""Collection Agent"":""$13.85 per hour"",""Laboratory Technician"":""$16.03 per hour"",""Extraction Technician"":""$17.57 per hour""}"
Camden PostAcute Care,{}
Movado,"{""Sales Associate"":""$11.26 per hour"",""Retail Assistant Manager"":""$13.93 per hour"",""Retail Sales Associate"":""$13.91 per hour""}"
E. R. Snell Contractors Inc.,{}
Kadant,{}
Lake Forest Park,"{""Medical Technician"":""$11.00 per hour"",""Administrative Assistant"":""$10.49 per hour"",""Sales Director"":""$50,000 per year""}"
Lowers Risk Group,"{""Research Analyst"":""$11.17 per hour"",""Research Specialist"":""$12.00 per hour""}"
Super T Transport,"{""Dispatcher"":""$10.95 per hour"",""Driver"":""$100 per day"",""Local Driver"":""$45,257 per year""}"
"Trinity Christian Academy, Deltona",{}
VNA of Maryland,{}
Kids N Us,"{""Lead Teacher"":""$14.17 per hour"",""Preschool Teacher"":""$13.65 per hour"",""Assistant Teacher"":""$13.38 per hour""}"
Catskill Regional Medical Center,"{""Registered Nurse"":""$60.00 per hour"",""Licensed Practical Nurse"":""$30.00 per hour"",""Nursing Assistant"":""$13.78 per hour""}"
Gypsum Express Ltd,"{""Truck Driver"":""$74,641 per year"",""Regional Driver"":""$61,262 per year"",""Company Driver"":""$59,901 per year""}"
Monroe Plan For Medical Care,"{""Senior Care Manager"":""$79,611 per year"",""Home Health Aide"":""$53,585 per year""}"
Bertucci's Italian Restaurant,"{""Bartender"":""$25,228 per year"",""Host/Hostess"":""$12.14 per hour"",""Cook"":""$12.61 per hour""}"
Neighborhood Health Center,"{""Certified Medical Assistant"":""$17.48 per hour"",""Physician"":""$202,692 per year""}"
Pike and Pint Grill,{}
DD Homes Network,"{""Direct Support Professional"":""$11.26 per hour"",""Qualified Intellectual Disabilities Professional"":""$37,854 per year"",""Nursing Home Administrator"":""$59,809 per year""}"
Bellaire at Stone Port,{}
The Auberge at Lake Zurich,"{""Nursing Assistant"":""$15.47 per hour"",""Nurse"":""$26.06 per hour""}"
ShopHQ,"{""Customer Support Representative"":""$13.03 per hour"",""Customer Service Supervisor"":""$19.04 per hour""}"
Doosan Bobcat,"{""Welder"":""$18.64 per hour"",""Engineering Intern"":""$16.00 per hour""}"
PORTAGE COUNTY,"{""Assistant"":""$10.38 per hour"",""Correctional Officer"":""$19.90 per hour"",""Social Worker"":""$25.63 per hour""}"
Traders Village,"{""Ride Operator"":""$8.84 per hour"",""Auditor"":""$9.38 per hour"",""Concession Stand Worker"":""$8.49 per hour""}"
Beauty Manufacturing Solutions Corp,"{""Compounder"":""$17.48 per hour"",""Team Leader"":""$47,298 per year"",""Accounts Payable Clerk"":""$44,725 per year""}"
Talkdesk,"{""Account Executive"":""$127,504 per year"",""Sales Representative"":""$55,394 per year"",""Customer Success Manager"":""$81,734 per year""}"
,"{""Aircraft Mechanic"":""$59,531 per year"",""Assembler"":""$34,075 per year"",""Software Engineer"":""$104,316 per year""}"
"Ethos Distributed Solutions, Inc","{""Tower Technician"":""$22.52 per hour"",""Wind Turbine Technician"":""$25.85 per hour""}"
Nicksons Eatery,{}
HCA Physician Services Group,"{""Medical Assistant"":""$14.66 per hour"",""Office Specialist"":""$46,734 per year"",""Certified Medical Assistant"":""$14.92 per hour""}"
"Red Roof Inns, Inc.","{""Housekeeper"":""$9.41 per hour"",""Front Desk Agent"":""$10.80 per hour"",""Guest Service Agent"":""$10.22 per hour""}"
Miramont Pointe,{}
Hope Services,{}
General Motors,"{""Assembler"":""$47,591 per year"",""Production Worker"":""$18.98 per hour"",""Forklift Operator"":""$20.83 per hour""}"
Academic Approach,"{""Proctor"":""$15.54 per hour"",""Tutor"":""$33.10 per hour"",""Instructor"":""$23.12 per hour""}"
Azura Memory Care,"{""Caregiver"":""$14.30 per hour"",""Nursing Assistant"":""$15.00 per hour""}"
Gopher Sport,{}
Wenger Corporation,"{""Project Manager"":""$91,841 per year"",""Machine Operator"":""$42,000 per year"",""Production Technician"":""$49,611 per year""}"
Ecowater Systems,"{""Lead Generation Specialist"":""$15.37 per hour"",""Customer Service Representative"":""$13.38 per hour"",""Sales Representative"":""$101,004 per year""}"
"CareMaster Medical Services, Inc.","{""Nursing Assistant"":""$9.57 per hour"",""Licensed Practical Nurse"":""$20.96 per hour"",""Home Care Nurse"":""$9.91 per hour""}"
HomeStreet Bank,"{""Loan Officer"":""$42,126 per year"",""Senior Loan Processor"":""$57,772 per year"",""Senior Customer Service Representative"":""$15.73 per hour""}"
,"{""Forklift Operator"":""$15.87 per hour"",""Order Picker"":""$14.88 per hour"",""Warehouse Worker"":""$16.43 per hour""}"
Bottom Line Collections,{}
MarketSource,"{""Sales Representative"":""$10.62 per hour"",""Sales Associate"":""$11.72 per hour"",""Warehouse Lead"":""$11.10 per hour""}"
Catapult Learning,"{""Teacher"":""$22.50 per hour"",""Teaching Assistant"":""$15.12 per hour"",""Tutor"":""$23.53 per hour""}"
Southcentral Foundation,"{""Administrative Assistant"":""$13.18 per hour"",""Account Specialist"":""$73,112 per year"",""Senior Administrative Assistant"":""$13.87 per hour""}"
Georgetown County School District,{}
AppleOne,"{""Customer Service Representative"":""$35,719 per year"",""Administrative Assistant"":""$52,044 per year"",""Data Entry Clerk"":""$30,053 per year""}"
HealthLinc,{}
Houghton Mifflin Harcourt,"{""Customer Service Representative"":""$16.28 per hour"",""Sales Support Representative"":""$35,423 per year"",""Account Executive"":""$54,489 per year""}"
Cubic Corporation,"{""Customer Service Representative"":""$14.81 per hour"",""IT Security Specialist"":""$99,718 per year"",""Systems Test Engineer"":""$84,118 per year""}"
PCG Capital,"{""Associate"":""$8.19 per hour"",""Front Desk Agent"":""$8.87 per hour"",""Childcare Provider"":""$8.95 per hour""}"
Diamond Resorts,"{""Sales Representative"":""$9.62 per hour"",""Concierge"":""$43,800 per year"",""Counselor"":""$27.19 per hour""}"
Lignetics,"{""Forklift Operator"":""$13.14 per hour"",""Packaging Operator"":""$15.03 per hour"",""Mill Operator"":""$15.86 per hour""}"
GEM Technologies Inc.,{}
The Waters of Muncie,"{""Nursing Assistant"":""$15.48 per hour"",""Licensed Practical Nurse"":""$30.22 per hour"",""Registered Nurse"":""$34.00 per hour""}"
"City Mill Co., Ltd.","{""Sales Associate"":""$12.38 per hour"",""Cashier"":""$14.14 per hour""}"
Corodata,"{""Warehouse Worker"":""$12.59 per hour"",""Driver"":""$14.00 per hour""}"
,"{""Animal Technician"":""$17.81 per hour"",""Research Technician"":""$35,198 per year"",""Technician"":""$14.42 per hour""}"
Quality Care of Howell,{}
"Zoes Kitchen, Inc.","{""Shift Leader"":""$12.01 per hour"",""Host/Cashier"":""$10.70 per hour"",""Host/Hostess"":""$10.92 per hour""}"
Page Mechanical Group Inc,"{""HVAC Technician"":""$26.89 per hour"",""Pipefitter"":""$25.38 per hour"",""Sheet Metal Mechanic"":""$18.18 per hour""}"
Merrill Gardens,"{""Server"":""$9.56 per hour"",""Caregiver"":""$13.67 per hour"",""Nursing Assistant"":""$14.54 per hour""}"
F5 Networks,"{""Senior Software Engineer"":""$144,869 per year"",""Software Engineer"":""$119,411 per year"",""Test Engineer"":""$116,199 per year""}"
Carondelet St. Joseph's Hospital,{}
CHAMBERSBURG HOSPITAL,{}
US Roofing LLC,{}
Presbyterian Hospitality House,{}
College of Lake County,"{""Instructor"":""$59,807 per year"",""Office Assistant"":""$12.27 per hour"",""Custodian"":""$31,036 per year""}"
Water Mission,{}
"Aisin USA MFG., Inc.",{}
Universal Environmental Services,"{""Plant Operator"":""$44,537 per year"",""Driver"":""$51,412 per year"",""Laboratory Technician"":""$37,615 per year""}"
PizzaVola,"{""Cashier"":""$9.28 per hour"",""Line Cook"":""$11.74 per hour"",""Chef"":""$11.82 per hour""}"
"O'Neil & Associates, Inc","{""Technical Writer"":""$46,016 per year"",""Business Development Representative"":""$81,357 per year"",""Business Development Manager"":""$79,505 per year""}"
Southern Scapes Inc.,{}
St. Mina Animal Hospital,{}
1st Lake Properties,"{""Property Manager"":""$42,741 per year"",""Assistant Property Manager"":""$25,611 per year"",""HVAC Technician"":""$20.38 per hour""}"
Clarity Partners,{}
Natural Factors,{}
Cleveland Metropolitan School District,"{""Intervention Specialist"":""$55,969 per year"",""Teacher"":""$51,892 per year"",""Special Education Teacher"":""$72,475 per year""}"
Avnet,"{""Senior Product Specialist"":""$63,320 per year"",""Account Manager"":""$82,982 per year"",""Material Specialist"":""$59,041 per year""}"
Stark Carpet,"{""Account Manager"":""$65,894 per year"",""Warehouse Worker"":""$33,726 per year"",""Shipping and Receiving Clerk"":""$39,803 per year""}"
DRUG ABUSE FOUNDATION,"{""Therapist"":""$46,788 per year"",""Intervention Specialist"":""$35,000 per year"",""Health Educator"":""$35,785 per year""}"
Miller Industries,{}
Metropolitan Nashville Public Schools,"{""Substitute Teacher"":""$89.32 per day"",""Instructional Aide"":""$11.00 per hour"",""Substitute"":""$93.40 per day""}"
U.S. Army,"{""Infantryman"":""$43,525 per year"",""Sergeant"":""$42,486 per year"",""Human Resources Specialist"":""$40,870 per year""}"
Montrose Mazda in Kent,{}
RoadEx America,"{""Truck Driver"":""$23.42 per hour"",""Yard Hostler"":""$15.78 per hour"",""Sales Executive"":""$48,482 per year""}"
The Ohio State University Wexner Medical Center,"{""Registered Nurse"":""$75,824 per year"",""Patient Access Manager"":""$69,013 per year"",""Medical Assistant"":""$30,480 per year""}"
AEG Worldwide,"{""Guest Service Agent"":""$13.76 per hour"",""Security Officer"":""$13.83 per hour"",""Parking Attendant"":""$15.00 per hour""}"
Clearbrook,"{""Direct Support Professional"":""$12.48 per hour"",""Qualified Intellectual Disabilities Professional"":""$34,983 per year"",""Service Coordinator"":""$35,110 per year""}"
Dental Care Professionals,{}
Crow Canyon Country Club,"{""Bartender"":""$15.33 per hour"",""Server"":""$15.70 per hour"",""Banquet Captain"":""$19.23 per hour""}"
Harry & David,"{""Customer Service Representative"":""$11.87 per hour"",""Packer"":""$12.25 per hour"",""Forklift Operator"":""$12.95 per hour""}"
Twin Oaks at Heritage Pointe,{}
Millennium Wireless,"{""Store Manager"":""$69,951 per year"",""Retail Sales Associate"":""$51,900 per year"",""Area Manager"":""$71,847 per year""}"
Family Farm and Home,"{""Team Leader"":""$12.06 per hour"",""Cashier"":""$8.78 per hour"",""Cashier/Stocker"":""$9.70 per hour""}"
Procter & Gamble,"{""Technician"":""$22.23 per hour"",""Forklift Operator"":""$14.67 per hour"",""Packer"":""$10.12 per hour""}"
SAF-Holland Inc.,"{""Fabricator/Welder"":""$40,189 per year"",""Welder"":""$17.09 per hour"",""Assembler"":""$13.06 per hour""}"
,"{""Insurance Agent"":""$14.07 per hour"",""Licensed Agent"":""$14.47 per hour"",""Customer Service Representative"":""$12.63 per hour""}"
"Superior Linen Service, Inc",{}
Forefront Dermatology,"{""Medical Assistant"":""$15.05 per hour"",""Receptionist"":""$13.50 per hour"",""Certified Medical Assistant"":""$14.56 per hour""}"
Omni Hotels,"{""Housekeeper"":""$13.55 per hour"",""Front Desk Agent"":""$13.51 per hour"",""Bartender"":""$10.95 per hour""}"
Informa,"{""Research Assistant"":""$16.35 per hour"",""Repair Technician"":""$21.35 per hour"",""Digital Marketer"":""$47,218 per year""}"
"Hayes Locums, LLC","{""Sales Consultant"":""$42,427 per year"",""Physician"":""$40,000 per year"",""Credentialing Specialist"":""$42,000 per year""}"
Bremer Whyte Brown & O'Meara LLP,"{""Associate Attorney"":""$86,888 per year"",""Legal Secretary"":""$46,086 per year""}"
,"{""Graduate Researcher"":""$25,012 per year"",""Research Assistant"":""$23,765 per year"",""Teaching Assistant"":""$48,961 per year""}"
YAI - Seeing Beyond Disability,"{""Direct Support Professional"":""$14.14 per hour"",""Counselor"":""$14.20 per hour"",""Residential Counselor"":""$12.81 per hour""}"
Exemplis LLC,{}
King Soopers,"{""Courtesy Associate"":""$10.99 per hour"",""Deli Associate"":""$11.33 per hour"",""Cashier"":""$12.41 per hour""}"
Accupac,{}
Endeavors,"{""Case Manager"":""$41,405 per year"",""Direct Care Worker"":""$17.81 per hour"",""Outreach Specialist"":""$44,485 per year""}"
SCOTT MANUFACTURING,{}
Charlotte Mecklenburg Schools,"{""Bus Driver"":""$14.78 per hour"",""Teacher"":""$48,189 per year"",""Substitute Teacher"":""$94.06 per day""}"
Pipl,{}
Fulton Distributing,{}
"Passionate Paws & Claws, LLC",{}
Private Clinic North,{}
K-DESIGNERS,"{""Telemarketer"":""$8.49 per hour"",""Director of Marketing"":""$43,098 per year"",""Sales Representative"":""$125,175 per year""}"
Vandelay Education,"{""Dental Assistant"":""$20.36 per hour"",""Admission Representative"":""$33.54 per hour"",""Assistant Instructor"":""$20.70 per hour""}"
Elara Caring,"{""Home Health Aide"":""$13.14 per hour"",""Registered Nurse Case Manager"":""$66,771 per year"",""Registered Nurse"":""$24.13 per hour""}"
MultiCare Health System,"{""Medical Receptionist"":""$36,537 per year"",""Medical Assistant"":""$20.18 per hour"",""Nursing Assistant"":""$44,546 per year""}"
The Crosby Group,{}
Saratoga Hospital,"{""Patient Access Manager"":""$16.20 per hour"",""Patient Assistant"":""$11.93 per hour"",""Personal Care Assistant"":""$12.07 per hour""}"
Airbus Group,"{""Stress Engineer"":""$79,469 per year"",""Customer Service Representative"":""$17.98 per hour""}"
"Manhattan Beachwear, Inc",{}
MiraCosta College,"{""Accounting Technician"":""$29.02 per hour"",""Clerical Worker"":""$17.55 per hour"",""Police Officer"":""$4,108 per month""}"
Judson Center,"{""Case Manager"":""$41,915 per year"",""Behavior Technician"":""$35,096 per year"",""Trainer"":""$40,578 per year""}"
Values Into Action,"{""Facilitator"":""$37,766 per year"",""Support Worker"":""$12.60 per hour"",""Direct Support Professional"":""$12.54 per hour""}"
Daisy Brand,"{""Maintenance Technician"":""$58,871 per year"",""Warehouse Worker"":""$42,884 per year"",""Machine Operator"":""$38,466 per year""}"
University of Texas at Arlington,"{""Graduate Researcher"":""$19,497 per year"",""Graduate Assistant"":""$1,534 per month"",""Administrative Assistant"":""$2,802 per month""}"
Human Capital Resource,{}
"i3 Pharmaceuticals, LLC",{}
Underwriters Laboratories,"{""Senior Project Engineer"":""$90,559 per year"",""Field Engineer"":""$64,172 per year"",""Engineer"":""$88,113 per year""}"
South Central Human Relations Center,{}
Cascade Christian Schools,{}
Vance-Granville Community College,"{""Instructor"":""$28.15 per hour"",""Tutor"":""$11.96 per hour"",""Adjunct Instructor"":""$28.00 per hour""}"
Tacoma Public Schools,"{""Teacher"":""$59,183 per year"",""Para Educator"":""$18.90 per hour"",""Custodian"":""$18.62 per hour""}"
